日期,買賣權別,身份別,未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2019/5/20,PUT,投信,1267,4055
2019/5/20,PUT,外資及陸資,-27592,-121929
2019/5/21,CALL,自營商,-20428,53680
2019/5/21,CALL,投信,-79,-257
2019/5/21,CALL,外資及陸資,31148,44091
2019/5/21,PUT,自營商,23542,99152
2019/5/21,PUT,投信,1267,1057
2019/5/21,PUT,外資及陸資,-19667,-107293
2019/5/22,CALL,自營商,-24217,-1616
2019/5/22,CALL,投信,-155,-450
2019/5/22,CALL,外資及陸資,20566,51703
2019/5/22,PUT,自營商,33072,120759
2019/5/22,PUT,投信,-229,-464
2019/5/22,PUT,外資及陸資,-30441,-120496
2019/5/23,CALL,自營商,-42786,-32061
2019/5/23,CALL,投信,-155,-213
2019/5/23,CALL,外資及陸資,26729,55063
2019/5/23,PUT,自營商,43505,170634
2019/5/23,PUT,投信,-229,-999
2019/5/23,PUT,外資及陸資,-19964,-96821
2019/5/24,CALL,自營商,-27479,19991
2019/5/24,CALL,投信,-155,-233
2019/5/24,CALL,外資及陸資,34164,64791
2019/5/24,PUT,自營商,32818,117313
2019/5/24,PUT,投信,1371,2931
2019/5/24,PUT,外資及陸資,-19087,-94195
2019/5/27,CALL,自營商,-38512,2117
2019/5/27,CALL,投信,-155,-182
2019/5/27,CALL,外資及陸資,36077,57824
2019/5/27,PUT,自營商,40190,158494
2019/5/27,PUT,投信,1371,1631
2019/5/27,PUT,外資及陸資,-13197,-95883
2019/5/28,CALL,自營商,-44697,6479
2019/5/28,CALL,投信,-155,-194
2019/5/28,CALL,外資及陸資,35051,58191
2019/5/28,PUT,自營商,39524,151428
2019/5/28,PUT,投信,1371,613
2019/5/28,PUT,外資及陸資,-13274,-98688
2019/5/29,CALL,自營商,-41150,2250
2019/5/29,CALL,投信,-155,-140
2019/5/29,CALL,外資及陸資,24854,43861
2019/5/29,PUT,自營商,32431,88579
2019/5/29,PUT,投信,1119,6267
2019/5/29,PUT,外資及陸資,-24247,-103617
2019/5/30,CALL,自營商,-35988,28391
2019/5/30,CALL,投信,-155,-178
2019/5/30,CALL,外資及陸資,36772,76575
2019/5/30,PUT,自營商,22480,80159
2019/5/30,PUT,投信,1119,4789
2019/5/30,PUT,外資及陸資,-15423,-98972
2019/5/31,CALL,自營商,-37543,-3798
2019/5/31,CALL,投信,-235,-423
2019/5/31,CALL,外資及陸資,42433,119399
2019/5/31,PUT,自營商,17904,81567
2019/5/31,PUT,投信,1119,3561
2019/5/31,PUT,外資及陸資,-3464,-85461
2019/6/3,CALL,自營商,-33137,28397
2019/6/3,CALL,投信,-235,-429
2019/6/3,CALL,外資及陸資,49197,141304
2019/6/3,PUT,自營商,20226,108406
2019/6/3,PUT,投信,1119,3052
2019/6/3,PUT,外資及陸資,2637,-108935
2019/6/4,CALL,自營商,-49951,27124
2019/6/4,CALL,投信,-235,-264
2019/6/4,CALL,外資及陸資,49404,80925
2019/6/4,PUT,自營商,31675,126656
2019/6/4,PUT,投信,1119,3397
2019/6/4,PUT,外資及陸資,5112,-89858
2019/6/5,CALL,自營商,-46314,10439
2019/6/5,CALL,投信,-235,-288
2019/6/5,CALL,外資及陸資,28527,47863
2019/6/5,PUT,自營商,27962,114408
2019/6/5,PUT,投信,1120,2308
2019/6/5,PUT,外資及陸資,-25104,-121709
2019/6/6,CALL,自營商,-51212,-4518
2019/6/6,CALL,投信,-235,-118
2019/6/6,CALL,外資及陸資,24870,20896
2019/6/6,PUT,自營商,35896,134699
2019/6/6,PUT,投信,1120,3028
2019/6/6,PUT,外資及陸資,-19795,-106493
2019/6/10,CALL,自營商,-34577,88768
2019/6/10,CALL,投信,-235,-294
2019/6/10,CALL,外資及陸資,43901,66751
2019/6/10,PUT,自營商,13191,129826
2019/6/10,PUT,投信,1120,784
2019/6/10,PUT,外資及陸資,-9361,-107266
2019/6/11,CALL,自營商,-32370,96717
2019/6/11,CALL,投信,-235,-353
2019/6/11,CALL,外資及陸資,51011,94487
2019/6/11,PUT,自營商,3668,139280
2019/6/11,PUT,投信,1120,428
2019/6/11,PUT,外資及陸資,-6588,-109064
2019/6/12,CALL,自營商,-37460,33399
2019/6/12,CALL,投信,-235,-300
2019/6/12,CALL,外資及陸資,32917,55876
2019/6/12,PUT,自營商,10099,129773
2019/6/12,PUT,投信,1122,261
2019/6/12,PUT,外資及陸資,-13773,-115757
2019/6/13,CALL,自營商,-53646,-10535
2019/6/13,CALL,投信,-235,-116
2019/6/13,CALL,外資及陸資,26662,15325
2019/6/13,PUT,自營商,25662,173589
2019/6/13,PUT,投信,1122,301
2019/6/13,PUT,外資及陸資,-2769,-106270
2019/6/14,CALL,自營商,-51849,-2623
2019/6/14,CALL,投信,-235,-60
2019/6/14,CALL,外資及陸資,21394,759
2019/6/14,PUT,自營商,27970,174249
2019/6/14,PUT,投信,1122,170
2019/6/14,PUT,外資及陸資,-1764,-122643
2019/6/17,CALL,自營商,-45693,29781
